References,Value,Quantity Per PCB,Digi-Key PN
C201 C204 C305 C307 C403 C405 C501 C502 C601 C602 C603 C611 C612 C613 C620 C621 C622 C902 C905 C1001 C1003 C1101 C1102 C1103 C1104 C1105 C1107 C1108 C1111 C1201 C1202 C1203 C1204 C1205 C1206 C1207 C1301 C1302 C1303 C1304 C1401 C1402 C1403 C1404 C1405 C1602 C1603 C1604 C1605 C1607 C1608 C1609 C1701 C1704 C1801 C1901 C2001 C2101 C2201 C2301 C2401 C2501 C2601 C2602 C2701 C2702 C2801 C2802,0.1uF,68,311-1344-1-ND
C1002,0.56uF,1,565-4707-1-ND
C604 C901 C1606,100uF,3,478-3130-1-ND
C205,100uF,1,718-1102-1-ND
C202 C304 C605 C606 C607 C614 C615 C616 C623 C624 C625 C903 C1702 C1705 C1802 C1902 C2002 C2102 C2202 C2302 C2402 C2502 C2603 C2604 C2703 C2704 C2803,10nF,27,1276-1921-1-ND
C1601,10uF,1,478-8236-1-ND
C308 C310,15pF,2,478-10289-1-ND
C203 C608 C609 C610 C617 C618 C619 C626 C627 C628 C904 C1703 C1706 C1803 C1903 C2003 C2103 C2203 C2303 C2403 C2503 C2605 C2606 C2705 C2706 C2804,1nF,26,1276-1018-1-ND
C309 C401,2.2uF,2,445-5691-1-ND
C301 C302 C303 C402 C406 C407,22uF,6,445-1453-1-ND
C1501 C1502 C1503 C1504 C1505,330pF,5,399-6880-1-ND
C404,33pF,1,399-1055-1-ND
C1106,4.7uF,1,1276-2972-1-ND
C1109 C1110,47pF,2,478-1171-1-ND
C311 C312,47uF,2,490-4844-1-ND
C306,62pF,1,1276-2320-1-ND
D202,24V,1,SMAJ24CALFCT-ND
D1501 D1502 D1503 D1504 D1505,BZT52C3V3T,5,BZT52C3V3T-TPMSCT-ND
D1101 D1206 D1301 D1302 D1303 D1304,Green,6,160-1446-1-ND
D301,MBR0530,1,MBR0530T1GOSCT-ND
D201,NUP2105L,1,NUP2105LT1GOSCT-ND
D901 D902 D1401,PESD3V3L4UG,3,1727-3827-1-ND
D1201 D1202 D1203 D1204 D1205 D1207,Red,6,160-1447-1-ND
D2901 D2902 D2903 D2904 D2905 D2906 D2907,SP0505BAJT,7,F3160CT-ND
D1102,Yellow,1,160-1448-1-ND
DOC1101,COM_Port_Settings,1,
J201,+12V IN,1,732-3214-ND
J203,+12V IN AUX,1,CP-202BH-ND
J901,ESP8266 Socket,1,
J1401,Encoder Ext,1,
J3003,FLASH SPI,1,
J202,GND IN,1,732-3214-ND
J204,Master Power SW,1,
J501,PICKIT3,1,
J1601,POS5P EXT,1,
J1602,POS5P PGOOD,1,
J1604,POS5P_RUN,1,
J1603,POS5P_THWN,1,
J3004,Panel TP,1,S2011EC-17-ND
J2901,STRING 1,1,ED10523-ND
J2902,STRING 2,1,ED10523-ND
J2903,STRING 3,1,ED10523-ND
J2904,STRING 4,1,ED10523-ND
J3001,USB UART,1,
J1101,USB_B_Mini,1,732-2109-1-ND
J3002,WIFI UART,1,
L301,0.47uH,1,541-1231-1-ND
L401,3.3uH,1,541-2567-1-ND
L601 L602 L1101 L1102,600R 0.5A,4,732-2389-1-ND
MK3103 MK3104 MK3107 MK3108 MK3111 MK3112 MK3115 MK3116 MK3119 MK3120 MK3123 MK3124,4-40 Screw,12,36-9900-ND
MK3101 MK3102 MK3105 MK3106 MK3109 MK3110 MK3113 MK3114 MK3117 MK3118 MK3121 MK3122,4-40 Standoff,12,36-8400-ND
Q501,BSS214NW,1,BSS214NWH6327XTSA1CT-ND
Q901,BSS214NW,1,BSS214NWH6327XTSA1CT-ND
Q201 Q202,IPC100N04S51R7ATMA1,2,IPC100N04S51R7ATMA1CT-ND
R505,0,1,311-0.0GRCT-ND
R205 R206 R304 R501 R908,10,5,YAG3351CT-ND
R503 R901 R906 R909 R1001 R1002 R1007 R1008 R1801 R1802 R1803 R1804 R1805 R1812 R1901 R1902 R1903 R1904 R1905 R1912 R2001 R2002 R2003 R2004 R2005 R2012 R2101 R2102 R2103 R2104 R2105 R2112 R2201 R2202 R2203 R2204 R2205 R2212 R2301 R2302 R2303 R2304 R2305 R2312 R2401 R2402 R2403 R2404 R2405 R2412 R2501 R2502 R2503 R2504 R2505 R2512 R2601 R2602 R2603 R2604 R2605 R2606 R2607 R2608 R2609 R2610 R2611 R2612 R2643 R2644 R2645 R2646 R2647 R2648 R2649 R2650 R2651 R2652 R2653 R2654 R2701 R2702 R2703 R2704 R2705 R2706 R2707 R2708 R2709 R2710 R2711 R2712 R2743 R2744 R2745 R2746 R2747 R2748 R2749 R2750 R2751 R2752 R2753 R2754 R2801 R2802 R2805 R2806 R2807 R2808 R2809 R2810 R2811 R2812 R2830 R2831 R2832 R2833 R2834 R2835 R2836 R2837,100,122,A106047CT-ND
R204 R302 R307 R405,100k,4,A106046CT-ND
R207 R301 R401 R402 R403 R404 R502 R504 R902 R903 R904 R905 R907 R1003 R1004 R1005 R1006 R1101 R1105 R1201 R1202 R1205 R1206 R1209 R1210 R1213 R1401 R1402 R1405 R1406 R1407 R1408 R1501 R1502 R1503 R1504 R1505 R1506 R1507 R1508 R1509 R1605 R1606 R1607 R1608 R1609 R1610 R1806 R1807 R1808 R1809 R1810 R1811 R1906 R1907 R1908 R1909 R1910 R1911 R2006 R2007 R2008 R2009 R2010 R2011 R2106 R2107 R2108 R2109 R2110 R2111 R2206 R2207 R2208 R2209 R2210 R2211 R2306 R2307 R2308 R2309 R2310 R2311 R2406 R2407 R2408 R2409 R2410 R2411 R2506 R2507 R2508 R2509 R2510 R2511 R2613 R2614 R2615 R2616 R2617 R2618 R2619 R2620 R2621 R2622 R2623 R2624 R2625 R2626 R2627 R2628 R2629 R2630 R2631 R2632 R2633 R2634 R2635 R2636 R2637 R2638 R2639 R2640 R2641 R2642 R2713 R2714 R2715 R2716 R2717 R2718 R2719 R2720 R2721 R2722 R2723 R2724 R2725 R2726 R2727 R2728 R2729 R2730 R2731 R2732 R2733 R2734 R2735 R2736 R2737 R2738 R2739 R2740 R2741 R2742 R2803 R2804 R2813 R2814 R2815 R2816 R2817 R2818 R2819 R2820 R2821 R2822 R2823 R2824 R2825 R2826 R2827 R2828 R2829,10k,174,RMCF0603FT10K0CT-ND
R306,13.3k,1,P13.3KHCT-ND
R406,13.7k,1,P13.7KHCT-ND
R506 R1106 R1109 R1203 R1204 R1207 R1208 R1211 R1212 R1214 R1301 R1302 R1303 R1304 R1403 R1404 R1510 R1603 R1604,1k,19,RMCF0603FT1K00CT-ND
R1601,200,1,RMCF0603FT200RCT-ND
R303 R308,22.1k,2,P22.1KHCT-ND
R203,243k,1,311-243KHRCT-ND
R1107 R1108,27,2,RMCF0603FT27R0CT-ND
R1104,40.2k,1,311-40.2KHRCT-ND
R1102,487k,1,311-487KHRCT-ND
R208,5.1k,1,YAG3621CT-ND
R201,6.04M,1,541-6.04MHCT-ND
R1103,6.04k,1,RMCF0603FT6K04CT-ND
R305,63.4k,1,541-63.4KHCT-ND
R1602,680,1,P680HCT-ND
R202,86.6k,1,311-86.6KHRCT-ND
SW1402,Brightness/Enable,1,102-1753-ND
SW1401,Display Enable,1,
SW501,MRST,1,
U2601 U2602 U2701 U2702 U2802,74HCT541,5,296-26499-1-ND
U1103 U1201 U1202 U1203 U1204 U1205 U1206 U1207 U1301 U1302 U1303 U1304,74LVC1G06,12,296-8484-1-ND
U1603 U1604 U1605,74LVC1G17,3,296-11934-1-ND
U2801,74LVC1G32,1,296-9848-1-ND
U1403,74LVC1G79,1,296-9850-1-ND
U1402,74LVC2G14,1,296-13011-1-ND
U1701,CY7C1010DV33,1,428-1960-ND
U1102,FT234XD,1,768-1178-1-ND
U1001,ISO7321C,1,296-42102-1-ND
U1601,LM1117-ADJ,1,LM1117IMPX-ADJ/NOPBCT-ND
U1101,LT6700-1-S6,1,LT6700CS6-1#TRMPBFCT-ND
